[
  [0.00,0.00],
  [691.10,856.70],
  [741.90,856.70],
  [792.70,856.70],
  [868.90,863.10],
  [792.70,907.50],
  [691.10,907.50],
  [868.90,913.90],
  [792.70,958.30],
  [741.90,958.30],
  [691.10,958.30],
  [691.10,1618.70],
  [741.90,1618.70],
  [792.70,1618.70],
  [792.70,1669.50],
  [691.10,1669.50],
  [691.10,1720.30],
  [741.90,1720.30],
  [792.70,1720.30],
  [1097.50,2425.20],
  [907.00,2412.50],
  [830.80,2412.50],
  [1034.00,2387.10],
  [1059.40,2387.10],
  [856.20,2374.40],
  [830.80,2361.70],
  [856.20,2349.00],
  [830.80,2336.30],
  [983.20,2336.30],
  [1022.90,2336.30],
  [1062.50,2336.30],
  [1102.10,2336.30],
  [1141.70,2336.30],
  [1181.40,2336.30],
  [1221.00,2336.30],
  [1260.60,2336.30],
  [1300.20,2336.30],
  [1339.90,2336.30],
  [1379.50,2336.30],
  [1419.10,2336.30],
  [1458.70,2336.30],
  [1498.40,2336.30],
  [1538.00,2336.30],
  [1577.60,2336.30],
  [1617.20,2336.30],
  [1656.90,2336.30],
  [1696.50,2336.30],
  [1736.10,2336.30],
  [1775.70,2336.30],
  [1815.40,2336.30],
  [1855.00,2336.30],
  [1894.60,2336.30],
  [1934.20,2336.30],
  [1973.80,2336.30],
  [2013.50,2336.30],
  [2053.10,2336.30],
  [2092.70,2336.30],
  [2132.30,2336.30],
  [2172.00,2336.30],
  [2211.60,2336.30],
  [2251.20,2336.30],
  [2290.80,2336.30],
  [2330.50,2336.30],
  [2370.10,2336.30],
  [2409.70,2336.30],
  [2449.30,2336.30],
  [2489.00,2336.30],
  [2528.60,2336.30],
  [2568.20,2336.30],
  [2607.80,2336.30],
  [2647.50,2336.30],
  [856.20,2323.60],
  [856.20,2298.20],
  [983.20,2285.50],
  [1022.90,2285.50],
  [1062.50,2285.50],
  [1102.10,2285.50],
  [1141.70,2285.50],
  [1181.40,2285.50],
  [1221.00,2285.50],
  [1260.60,2285.50],
  [1300.20,2285.50],
  [1339.90,2285.50],
  [1379.50,2285.50],
  [1419.10,2285.50],
  [1458.70,2285.50],
  [1498.40,2285.50],
  [1538.00,2285.50],
  [1577.60,2285.50],
  [1617.20,2285.50],
  [1656.90,2285.50],
  [1696.50,2285.50],
  [1736.10,2285.50],
  [1775.70,2285.50],
  [1815.40,2285.50],
  [1855.00,2285.50],
  [1894.60,2285.50],
  [1934.20,2285.50],
  [1973.80,2285.50],
  [2013.50,2285.50],
  [2053.10,2285.50],
  [2092.70,2285.50],
  [2132.30,2285.50],
  [2172.00,2285.50],
  [2211.60,2285.50],
  [2251.20,2285.50],
  [2290.80,2285.50],
  [2330.50,2285.50],
  [2370.10,2285.50],
  [2409.70,2285.50],
  [2449.30,2285.50],
  [2489.00,2285.50],
  [2528.60,2285.50],
  [2568.20,2285.50],
  [2607.80,2285.50],
  [2647.50,2285.50],
  [1059.40,2234.70],
  [1034.00,2234.70],
  [1034.00,2183.90],
  [1059.40,2183.90],
  [983.20,2133.10],
  [1022.90,2133.10],
  [1062.50,2133.10],
  [1102.10,2133.10],
  [1141.70,2133.10],
  [1181.40,2133.10],
  [1221.00,2133.10],
  [1260.60,2133.10],
  [1300.20,2133.10],
  [1339.90,2133.10],
  [1379.50,2133.10],
  [1419.10,2133.10],
  [1458.70,2133.10],
  [1498.40,2133.10],
  [1538.00,2133.10],
  [1577.60,2133.10],
  [1617.20,2133.10],
  [1656.90,2133.10],
  [1696.50,2133.10],
  [1736.10,2133.10],
  [1775.70,2133.10],
  [1815.40,2133.10],
  [1855.00,2133.10],
  [1894.60,2133.10],
  [1934.20,2133.10],
  [1973.80,2133.10],
  [2013.50,2133.10],
  [2053.10,2133.10],
  [2092.70,2133.10],
  [2132.30,2133.10],
  [2172.00,2133.10],
  [2211.60,2133.10],
  [2251.20,2133.10],
  [2290.80,2133.10],
  [2330.50,2133.10],
  [2370.10,2133.10],
  [2409.70,2133.10],
  [2449.30,2133.10],
  [2489.00,2133.10],
  [2528.60,2133.10],
  [2568.20,2133.10],
  [2607.80,2133.10],
  [2647.50,2133.10],
  [2647.50,2082.30],
  [2607.80,2082.30],
  [2568.20,2082.30],
  [2528.60,2082.30],
  [2489.00,2082.30],
  [2449.30,2082.30],
  [2409.70,2082.30],
  [2370.10,2082.30],
  [2330.50,2082.30],
  [2290.80,2082.30],
  [2251.20,2082.30],
  [2211.60,2082.30],
  [2172.00,2082.30],
  [2132.30,2082.30],
  [2092.70,2082.30],
  [2053.10,2082.30],
  [2013.50,2082.30],
  [1973.80,2082.30],
  [1934.20,2082.30],
  [1894.60,2082.30],
  [1855.00,2082.30],
  [1815.40,2082.30],
  [1775.70,2082.30],
  [1736.10,2082.30],
  [1696.50,2082.30],
  [1656.90,2082.30],
  [1617.20,2082.30],
  [1577.60,2082.30],
  [1538.00,2082.30],
  [1498.40,2082.30],
  [1458.70,2082.30],
  [1419.10,2082.30],
  [1379.50,2082.30],
  [1339.90,2082.30],
  [1300.20,2082.30],
  [1260.60,2082.30],
  [1221.00,2082.30],
  [1181.40,2082.30],
  [1141.70,2082.30],
  [1102.10,2082.30],
  [1062.50,2082.30],
  [1022.90,2082.30],
  [983.20,2082.30],
  [1034.00,2031.50],
  [1059.40,2031.50],
  [881.60,1993.40],
  [1034.00,1980.70],
  [1059.40,1980.70],
  [881.60,1968.00],
  [856.20,1968.00],
  [843.50,1942.60],
  [881.60,1942.60],
  [983.20,1929.90],
  [1022.90,1929.90],
  [1062.50,1929.90],
  [1102.10,1929.90],
  [1141.70,1929.90],
  [1181.40,1929.90],
  [1221.00,1929.90],
  [1260.60,1929.90],
  [1300.20,1929.90],
  [1339.90,1929.90],
  [1379.50,1929.90],
  [1419.10,1929.90],
  [1458.70,1929.90],
  [1498.40,1929.90],
  [1538.00,1929.90],
  [1577.60,1929.90],
  [1617.20,1929.90],
  [1656.90,1929.90],
  [1696.50,1929.90],
  [1736.10,1929.90],
  [1775.70,1929.90],
  [1815.40,1929.90],
  [1855.00,1929.90],
  [1894.60,1929.90],
  [1934.20,1929.90],
  [1973.80,1929.90],
