[
  [1025.70,1971.30],
  [1161.67,1965.39],
  [1191.23,1959.49],
  [1167.59,1959.49],
  [1096.64,1959.49],
  [1102.56,1953.58],
  [1090.73,1953.58],
  [1019.79,1953.58],
  [1232.62,1941.77],
  [1043.44,1941.77],
  [1238.53,1935.87],
  [1167.59,1935.87],
  [1132.11,1935.87],
  [1268.09,1929.96],
  [1244.44,1929.96],
  [1067.08,1929.96],
  [1179.41,1924.06],
  [1049.35,1924.06],
  [1037.53,1924.06],
  [1126.20,1918.15],
  [1090.73,1918.15],
  [984.32,1918.15],
  [1327.20,1906.34],
  [1031.61,1906.34],
  [996.14,1906.34],
  [1049.35,1900.44],
  [1185.32,1894.53],
  [1114.38,1894.53],
  [1315.38,1882.72],
  [1291.73,1882.72],
  [1078.91,1882.72],
  [1013.88,1876.82],
  [1735.12,1746.91],
  [741.93,1746.91],
  [1729.21,1741.00],
  [736.02,1741.00],
  [1522.30,1723.29],
  [529.11,1723.29],
  [1185.32,1646.52],
  [1569.59,1522.52],
  [576.40,1522.52],
  [1149.85,1445.75],
  [617.79,1445.75],
  [1031.61,1422.13],
  [1108.47,1416.22],
  [753.76,1416.22],
  [1031.61,1410.32],
  [594.14,1410.32],
  [759.67,1398.51],
  [605.96,1398.51],
  [753.76,1274.50],
  [659.17,1250.88],
  [1268.09,1244.98],
  [594.14,1244.98],
  [611.87,1227.26],
  [1279.91,1221.36],
  [659.17,1156.40],
  [1226.70,1002.87],
  [1149.85,996.97],
  [1610.97,973.35],
  [1037.53,802.10],
  [1315.38,796.20],
  [1114.38,796.20],
  [1090.73,796.20],
  [1274.00,790.29],
  [1132.11,790.29],
  [1108.47,790.29],
  [1013.88,790.29],
  [1268.09,784.39],
  [1114.38,784.39],
  [1031.61,784.39],
  [1664.18,778.48],
  [1238.53,778.48],
  [1096.64,778.48],
  [1049.35,778.48],
  [978.41,778.48],
  [1232.62,772.58],
  [1185.32,772.58],
  [1078.91,772.58],
  [1055.26,772.58],
  [1019.79,772.58],
  [1214.88,766.67],
  [1191.23,766.67],
  [1167.59,766.67],
  [1084.82,766.67],
  [1073.00,766.67],
  [1232.62,760.77],
  [1161.67,760.77],
  [1262.18,754.86],
  [1250.35,754.86],
  [1179.41,754.86],
  [1025.70,754.86],
  [1268.09,748.96],
  [1244.44,748.96],
  [1173.50,748.96],
  [1132.11,743.05],
  [1120.29,743.05],
  [1019.79,725.34],
  [996.14,725.34],
  [1037.53,719.43],
  [1002.05,719.43],
  [1173.50,559.99],
  [1610.97,548.18],
  [1173.50,548.18],
  [1220.79,536.37],
  [1628.71,2048.06],
  [1628.71,2036.25],
  [1616.89,2048.06],
  [1616.89,2036.25],
  [1605.06,2048.06],
  [1605.06,2036.25],
  [1593.24,2048.06],
  [1593.24,2036.25],
  [1581.41,2048.06],
  [1581.41,2036.25],
  [1569.59,2048.06],
  [1569.59,2036.25],
  [1557.77,2048.06],
  [1557.77,2036.25],
  [1545.94,2048.06],
  [1545.94,2036.25],
  [1534.12,2048.06],
  [1534.12,2036.25],
  [1522.30,2048.06],
  [1522.30,2036.25],
  [1510.47,2048.06],
  [1510.47,2036.25],
  [1498.65,2048.06],
  [1498.65,2036.25],
  [1622.80,2042.16],
  [1622.80,2030.35],
  [1610.97,2042.16],
  [1610.97,2030.35],
  [1599.15,2042.16],
  [1599.15,2030.35],
  [1587.33,2042.16],
  [1587.33,2030.35],
  [1575.50,2042.16],
  [1575.50,2030.35],
  [1563.68,2042.16],
  [1563.68,2030.35],
  [1551.85,2042.16],
  [1551.85,2030.35],
  [1540.03,2042.16],
  [1540.03,2030.35],
  [1528.21,2042.16],
  [1528.21,2030.35],
  [1516.38,2042.16],
  [1516.38,2030.35],
  [1504.56,2042.16],
  [1504.56,2030.35],
  [1492.74,2042.16],
  [1492.74,2030.35],
  [647.35,2048.06],
  [647.35,2036.25],
  [635.52,2048.06],
  [635.52,2036.25],
  [623.70,2048.06],
  [623.70,2036.25],
  [611.88,2048.06],
  [611.88,2036.25],
  [600.05,2048.06],
  [600.05,2036.25],
  [588.23,2048.06],
  [588.23,2036.25],
  [576.40,2048.06],
  [576.40,2036.25],
  [564.58,2048.06],
  [564.58,2036.25],
  [552.76,2048.06],
  [552.76,2036.25],
  [540.93,2048.06],
  [540.93,2036.25],
  [529.11,2048.06],
  [529.11,2036.25],
  [517.29,2048.06],
  [517.29,2036.25],
  [641.43,2042.16],
  [641.43,2030.35],
  [629.61,2042.16],
  [629.61,2030.35],
  [617.79,2042.16],
  [617.79,2030.35],
  [605.96,2042.16],
  [605.96,2030.35],
  [594.14,2042.16],
  [594.14,2030.35],
  [582.32,2042.16],
  [582.32,2030.35],
  [570.49,2042.16],
  [570.49,2030.35],
  [558.67,2042.16],
  [558.67,2030.35],
  [546.85,2042.16],
  [546.85,2030.35],
  [535.02,2042.16],
  [535.02,2030.35],
  [523.20,2042.16],
  [523.20,2030.35],
  [511.37,2042.16],
  [511.37,2030.35],
  [1628.71,170.26],
  [1628.71,158.45],
  [1616.89,170.26],
  [1616.89,158.45],
  [1605.06,170.26],
  [1605.06,158.45],
  [1593.24,170.26],
  [1593.24,158.45],
  [1581.41,170.26],
  [1581.41,158.45],
  [1569.59,170.26],
  [1569.59,158.45],
  [1557.77,170.26],
  [1557.77,158.45],
  [1545.94,170.26],
  [1545.94,158.45],
  [1534.12,170.26],
  [1534.12,158.45],
  [1522.30,170.26],
  [1522.30,158.45],
  [1510.47,170.26],
  [1510.47,158.45],
  [1498.65,170.26],
  [1498.65,158.45],
  [1622.80,164.36],
  [1622.80,152.55],
  [1610.97,164.36],
  [1610.97,152.55],
