[
  [2830.00,40.00],
  [2830.00,77.00],
  [2830.00,114.00],
  [2831.00,155.00],
  [2830.00,194.00],
  [2831.00,231.00],
  [2831.00,269.00],
  [2831.00,309.00],
  [2830.00,347.00],
  [2830.00,384.00],
  [2792.00,35.00],
  [2792.00,75.00],
  [2790.00,115.00],
  [2792.00,153.00],
  [2791.00,191.00],
  [2791.00,231.00],
  [2790.00,271.00],
  [2791.00,306.00],
  [2791.00,345.00],
  [2792.00,384.00],
  [2800.00,460.00],
  [2801.00,499.00],
  [2801.00,538.00],
  [2800.00,578.00],
  [2802.00,620.00],
  [2800.00,654.00],
  [2800.00,694.00],
  [2802.00,732.00],
  [2800.00,772.00],
  [2800.00,810.00],
  [2762.00,459.00],
  [2761.00,497.00],
  [2761.00,540.00],
  [2761.00,578.00],
  [2762.00,591.00],
  [2763.00,656.00],
  [2762.00,694.00],
  [2761.00,731.00],
  [2762.00,770.00],
  [2761.00,808.00],
  [2801.00,946.00],
  [2803.00,1034.00],
  [2723.00,943.00],
  [2724.00,1029.00],
  [2702.00,1003.00],
  [2800.00,1098.00],
  [2799.00,1137.00],
  [2831.00,1158.00],
  [2801.00,1178.00],
  [2800.00,1216.00],
  [2829.00,1237.00],
  [2801.00,1254.00],
  [2800.00,1292.00],
  [2800.00,1331.00],
  [2801.00,1370.00],
  [2799.00,1409.00],
  [2804.00,1450.00],
  [2759.00,1098.00],
  [2762.00,1138.00],
  [2762.00,1178.00],
  [2761.00,1213.00],
  [2763.00,1255.00],
  [2761.00,1293.00],
  [2763.00,1330.00],
  [2761.00,1369.00],
  [2759.00,1411.00],
  [2761.00,1446.00],
  [2762.00,617.00],
  [2801.00,1507.00],
  [2800.00,1548.00],
  [2801.00,1581.00],
  [2801.00,1619.00],
  [2799.00,1656.00],
  [2800.00,1698.00],
  [2800.00,1738.00],
  [2800.00,1781.00],
  [2799.00,1820.00],
  [2800.00,1856.00],
  [2760.00,1506.00],
  [2760.00,1543.00],
  [2763.00,1586.00],
  [2761.00,1621.00],
  [2761.00,1659.00],
  [2761.00,1698.00],
  [2762.00,1737.00],
  [2761.00,1775.00],
  [2762.00,1821.00],
  [2762.00,1853.00],
  [2800.00,2067.00],
  [2798.00,2102.00],
  [2799.00,2143.00],
  [2801.00,2183.00],
  [2800.00,2221.00],
